Timestamp;Object_List;Objects_Count;frisbee;clock;tv;bus;stop sign;person;chair;train;truck;car;airplane;traffic light;fire hydrant
1549643292820507;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643294626807;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643296441327;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643298251369;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643300181739;['truck', 'car', 'car'];3;;;;;;;;;1.0;2.0;;;
1549643302068533;['car', 'car', 'car', 'car'];4;;;;;;;;;;4.0;;;
1549643303874623;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643305682172;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643307492395;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643309369381;['person', 'person', 'car', 'truck'];4;;;;;;2.0;;;1.0;1.0;;;
1549643311235541;['car'];1;;;;;;;;;;1.0;;;
1549643313041358;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643314848232;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643316662826;['car'];1;;;;;;;;;;1.0;;;
1549643318476520;['car'];1;;;;;;;;;;1.0;;;
1549643320280906;['car'];1;;;;;;;;;;1.0;;;
1549643322154638;['car'];1;;;;;;;;;;1.0;;;
1549643324019465;['car'];1;;;;;;;;;;1.0;;;
1549643325829402;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643327642341;['car', 'car', 'car', 'car'];4;;;;;;;;;;4.0;;;
1549643329447878;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643331254344;['car', 'car', 'car', 'car', 'car'];5;;;;;;;;;;5.0;;;
1549643333069877;['car', 'car', 'car', 'car'];4;;;;;;;;;;4.0;;;
1549643334999613;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643336872304;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643338675984;['truck', 'car', 'car', 'car'];4;;;;;;;;;1.0;3.0;;;
1549643340492018;['truck', 'car', 'truck', 'car', 'car'];5;;;;;;;;;2.0;3.0;;;
1549643342356161;['truck', 'car', 'truck', 'truck', 'car'];5;;;;;;;;;3.0;2.0;;;
1549643344166579;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549643346097226;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643347976000;['truck', 'car', 'truck'];3;;;;;;;;;2.0;1.0;;;
1549643349779217;['car', 'truck'];2;;;;;;;;;1.0;1.0;;;
1549643351583709;['car', 'truck', 'car', 'car'];4;;;;;;;;;1.0;3.0;;;
1549643353513658;['car', 'truck'];2;;;;;;;;;1.0;1.0;;;
1549643355329180;['car', 'truck', 'car'];3;;;;;;;;;1.0;2.0;;;
1549643357139931;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643359011329;['car', 'car', 'truck', 'car'];4;;;;;;;;;1.0;3.0;;;
1549643360815655;['car'];1;;;;;;;;;;1.0;;;
1549643362623406;['car', 'person', 'car'];3;;;;;;1.0;;;;2.0;;;
1549643364433402;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643366246529;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643368051859;['car'];1;;;;;;;;;;1.0;;;
1549643369860032;['car'];1;;;;;;;;;;1.0;;;
1549643371675118;['car'];1;;;;;;;;;;1.0;;;
1549643373546719;['car'];1;;;;;;;;;;1.0;;;
1549643375418182;['car'];1;;;;;;;;;;1.0;;;
1549643377223693;['car'];1;;;;;;;;;;1.0;;;
1549643379096606;['car'];1;;;;;;;;;;1.0;;;
1549643380906304;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643382719003;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643384520885;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643386328486;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643388142631;['car', 'car', 'car', 'car'];4;;;;;;;;;;4.0;;;
1549643390012393;['car'];1;;;;;;;;;;1.0;;;
1549643391884914;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549643393754822;['car'];1;;;;;;;;;;1.0;;;
1549643395565716;['car'];1;;;;;;;;;;1.0;;;
1549643397372536;['car'];1;;;;;;;;;;1.0;;;
1549643399247870;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643401065483;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643402869669;['car', 'person', 'car'];3;;;;;;1.0;;;;2.0;;;
1549643404738125;['car'];1;;;;;;;;;;1.0;;;
1549643406546911;['car', 'truck'];2;;;;;;;;;1.0;1.0;;;
1549643408361065;['car'];1;;;;;;;;;;1.0;;;
1549643410175670;['car'];1;;;;;;;;;;1.0;;;
1549643411979654;['car'];1;;;;;;;;;;1.0;;;
1549643413786806;['car'];1;;;;;;;;;;1.0;;;
1549643415600015;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643417410437;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643419214018;['car', 'car', 'car', 'car'];4;;;;;;;;;;4.0;;;
1549643421145910;['car', 'truck', 'car', 'truck'];4;;;;;;;;;2.0;2.0;;;
1549643422952942;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643424883088;['car', 'car', 'car', 'car'];4;;;;;;;;;;4.0;;;
1549643426758326;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643428569899;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643430374736;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643434054116;['truck'];1;;;;;;;;;1.0;;;;
1549643437677607;['car'];1;;;;;;;;;;1.0;;;
1549643439483213;['car'];1;;;;;;;;;;1.0;;;
1549643441290547;['car'];1;;;;;;;;;;1.0;;;
1549643443165225;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643444976438;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549643446781910;['car'];1;;;;;;;;;;1.0;;;
1549643448596881;['car'];1;;;;;;;;;;1.0;;;
1549643454279916;['car', 'car', 'car', 'car'];4;;;;;;;;;;4.0;;;
1549643456144254;['car'];1;;;;;;;;;;1.0;;;
1549643457958181;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643459829244;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643463390002;['car'];1;;;;;;;;;;1.0;;;
1549643465261369;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643467135429;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643469061971;['car', 'car', 'car', 'car'];4;;;;;;;;;;4.0;;;
1549643470925182;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643472742155;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549643474550097;['car', 'truck', 'car', 'car'];4;;;;;;;;;1.0;3.0;;;
1549643476362621;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549643480097672;['truck'];1;;;;;;;;;1.0;;;;
1549643481902865;['truck'];1;;;;;;;;;1.0;;;;
1549643483771625;['truck'];1;;;;;;;;;1.0;;;;
1549643485587081;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549643487399395;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549643489204961;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549643491014270;['truck'];1;;;;;;;;;1.0;;;;
1549643492888173;['car', 'truck'];2;;;;;;;;;1.0;1.0;;;
1549643494753713;['truck'];1;;;;;;;;;1.0;;;;
1549643498433654;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549643500302078;['truck'];1;;;;;;;;;1.0;;;;
1549643502170346;['truck', 'truck'];2;;;;;;;;;2.0;;;;
1549643503985882;['truck'];1;;;;;;;;;1.0;;;;
1549643505797117;['truck', 'truck'];2;;;;;;;;;2.0;;;;
1549643507726952;['truck'];1;;;;;;;;;1.0;;;;
1549643509529563;['truck'];1;;;;;;;;;1.0;;;;
1549643511403978;['truck'];1;;;;;;;;;1.0;;;;
1549643513212145;['truck', 'person', 'truck'];3;;;;;;1.0;;;2.0;;;;
1549643515088439;['truck'];1;;;;;;;;;1.0;;;;
1549643516950718;['truck', 'truck'];2;;;;;;;;;2.0;;;;
1549643518763728;['truck', 'truck'];2;;;;;;;;;2.0;;;;
1549643520569131;['truck'];1;;;;;;;;;1.0;;;;
1549643522438097;['truck'];1;;;;;;;;;1.0;;;;
1549643524251132;['truck', 'truck'];2;;;;;;;;;2.0;;;;
1549643546272554;['car'];1;;;;;;;;;;1.0;;;
1549643550066428;['car'];1;;;;;;;;;;1.0;;;
1549643551881478;['car'];1;;;;;;;;;;1.0;;;
1549643553746839;['car'];1;;;;;;;;;;1.0;;;
1549643555555998;['car'];1;;;;;;;;;;1.0;;;
1549643557433257;['car'];1;;;;;;;;;;1.0;;;
1549643559298827;['car'];1;;;;;;;;;;1.0;;;
1549643561105282;['car', 'truck', 'car'];3;;;;;;;;;1.0;2.0;;;
1549643562911572;['car', 'truck'];2;;;;;;;;;1.0;1.0;;;
1549643564788795;['car'];1;;;;;;;;;;1.0;;;
1549643566598249;['car', 'person'];2;;;;;;1.0;;;;1.0;;;
1549643568417835;['car', 'car', 'truck'];3;;;;;;;;;1.0;2.0;;;
1549643570349494;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643572165826;['car', 'car', 'truck', 'truck'];4;;;;;;;;;2.0;2.0;;;
1549643574029425;['car', 'truck', 'car', 'car', 'truck'];5;;;;;;;;;2.0;3.0;;;
1549643575904707;['car'];1;;;;;;;;;;1.0;;;
1549643577715155;['car'];1;;;;;;;;;;1.0;;;
1549643579520031;['car', 'truck', 'car', 'train'];4;;;;;;;;1.0;1.0;2.0;;;
1549643581388169;['train', 'car', 'car'];3;;;;;;;;1.0;;2.0;;;
1549643583258219;['car'];1;;;;;;;;;;1.0;;;
1549643585126443;['car', 'person'];2;;;;;;1.0;;;;1.0;;;
1549643586942475;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643588754299;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643590559836;['car'];1;;;;;;;;;;1.0;;;
1549643594242043;['car'];1;;;;;;;;;;1.0;;;
1549643596052474;['fire hydrant', 'car'];2;;;;;;;;;;1.0;;;1.0
1549643597857006;['car'];1;;;;;;;;;;1.0;;;
1549643599664885;['car'];1;;;;;;;;;;1.0;;;
